Abstract,Author,Document Title,PDF Link,Year
"two elements, $x$ and $y$, are separated by a set $s$ if it contains exactly.one of $x$ and $y$. we prove that any set of $n$ points in general position in.the plane can be separated by $o(n\log\log n/\log n)$ convex sets, and for some.point sets $\omega(n/\log n)$ convex sets are necessary.","['d. gerbner', 'g. tóth']",separating families of convex sets,http://arxiv.org/abs/1211.2982v1,2012
"we describe the subgroups of the group $\z_m \times \z_n \times \z_r$ and.derive a simple formula for the total number $s(m,n,r)$ of the subgroups, where.$m,n,r$ are arbitrary positive integers. an asymptotic formula for the function.$n\mapsto s(n,n,n)$ is also deduced.","['mario hampejs', 'lászló tóth']",on the subgroups of finite abelian groups of rank three,http://arxiv.org/abs/1304.2961v1,2013
"the 2-point correlation form factor, $k_2(\tau)$, for small values of $\tau$.is computed analytically for typical examples of pseudo-integrable systems..this is done by explicit calculation of periodic orbit contributions in the.diagonal approximation. the following cases are considered: (i) plane billiards.in the form of right triangles with one angle $\pi/n$ and (ii) rectangular.billiards with the aharonov-bohm flux line. in the first model, using the.properties of the veech structure, it is shown that.$k_2(0)=(n+\epsilon(n))/(3(n-2))$ where $\epsilon(n)=0$ for odd $n$,.$\epsilon(n)=2$ for even $n$ not divisible by 3, and $\epsilon(n)=6$ for even.$n$ divisible by 3. for completeness we also recall informally the main.features of the veech construction. in the second model the answer depends on.arithmetical properties of ratios of flux line coordinates to the corresponding.sides of the rectangle. when these ratios are non-commensurable irrational.numbers, $k_2(0)=1-3\bar{\alpha}+4\bar{\alpha}^2$ where $\bar{\alpha}$ is the.fractional part of the flux through the rectangle when $0\le \bar{\alpha}\le.1/2$ and it is symmetric with respect to the line $\bar{\alpha}=1/2$ when $1/2.\le \bar{\alpha}\le 1$. the comparison of these results with numerical.calculations of the form factor is discussed in detail. the above values of.$k_2(0)$ differ from all known examples of spectral statistics, thus confirming.analytically the peculiarities of statistical properties of the energy levels.in pseudo-integrable systems.","['e. bogomolny', 'o. giraud', 'c. schmit']",periodic orbits contribution to the 2-point correlation form factor for.  pseudo-integrable systems,http://arxiv.org/abs/nlin/0101008v1,2001
"we apply the theory of markov random fields on trees to derive a phase.transition in the number of samples needed in order to reconstruct phylogenies..  we consider the cavender-farris-neyman model of evolution on trees, where all.the inner nodes have degree at least 3, and the net transition on each edge is.bounded by e. motivated by a conjecture by m. steel, we show that if 2 (1 - 2.e) (1 - 2e) > 1, then for balanced trees, the topology of the underlying tree,.having n leaves, can be reconstructed from o(log n) samples (characters) at the.leaves. on the other hand, we show that if 2 (1 - 2 e) (1 - 2 e) < 1, then.there exist topologies which require at least poly(n) samples for.reconstruction..  our results are the first rigorous results to establish the role of phase.transitions for markov random fields on trees as studied in probability,.statistical physics and information theory to the study of phylogenies in.mathematical biology.",['elchanan mossel'],phase transitions in phylogeny,http://arxiv.org/abs/math/0304491v2,2004
"traditionally, the quality of orthogonal planar drawings is quantified by.either the total number of bends, or the maximum number of bends per edge..however, this neglects that in typical applications, edges have varying.importance. moreover, as bend minimization over all planar embeddings is.np-hard, most approaches focus on a fixed planar embedding..  we consider the problem optimalflexdraw that is defined as follows. given a.planar graph g on n vertices with maximum degree 4 and for each edge e a cost.function cost_e : n_0 --> r defining costs depending on the number of bends on.e, compute an orthogonal drawing of g of minimum cost. note that this optimizes.over all planar embeddings of the input graphs, and the cost functions allow.fine-grained control on the bends of edges..  in this generality optimalflexdraw is np-hard. we show that it can be solved.efficiently if 1) the cost function of each edge is convex and 2) the first.bend on each edge does not cause any cost (which is a condition similar to the.positive flexibility for the decision problem flexdraw). moreover, we show the.existence of an optimal solution with at most three bends per edge except for a.single edge per block (maximal biconnected component) with up to four bends..for biconnected graphs we obtain a running time of o(n t_flow(n)), where.t_flow(n) denotes the time necessary to compute a minimum-cost flow in a planar.flow network with multiple sources and sinks. for connected graphs that are not.biconnected we need an additional factor of o(n).","['thomas bläsius', 'ignaz rutter', 'dorothea wagner']",optimal orthogonal graph drawing with convex bend costs,http://arxiv.org/abs/1204.4997v1,2012
"let $\lambda$ denote the liouville function. we show that, as $x \rightarrow.\infty$, $$\int_{x}^{2x} \sup_{\substack{p(y)\in \mathbb{r}[y]\\ deg(p)\leq k}}.\big | \sum_{x \leq n \leq x + h} \lambda(n) e(-p(n)) \big |\ dx = o ( x h)$$.for all fixed $k$ and $x^{\theta} \leq h \leq x$ with $0 < \theta < 1$ fixed.but arbitrarily small. previously this was only established for $k \leq 1$. we.obtain this result as a special case of the corresponding statement for.(non-pretentious) $1$-bounded multiplicative functions that we prove. in fact,.we are able to replace the polynomial phases $e(-p(n))$ by degree $k$.nilsequences $\overline{f}(g(n) \gamma)$. by the inverse theory for the gowers.norms this implies the higher order asymptotic uniformity result.$$\int_{x}^{2x} \| \lambda \|_{u^{k+1}([x,x+h])}\ dx = o ( x )$$ in the same.range of $h$. we present applications of this result to patterns of various.types in the liouville sequence. firstly, we show that the number of sign.patterns of the liouville function is superpolynomial, making progress on a.conjecture of sarnak about the liouville sequence having positive entropy..secondly, we obtain cancellation in averages of $\lambda$ over short polynomial.progressions $(n+p_1(m),\ldots, n+p_k(m))$, which in the case of linear.polynomials yields a new averaged version of chowla's conjecture. we are in.fact able to prove our results on polynomial phases in the wider range $h\geq.\exp((\log x)^{5/8+\varepsilon})$, thus strengthening also previous work on the.fourier uniformity of the liouville function.","['kaisa matomäki', 'maksym radziwiłł', 'terence tao', 'joni teräväinen', 'tamar ziegler']",higher uniformity of bounded multiplicative functions in short intervals.  on average,http://arxiv.org/abs/2007.15644v1,2020
"the subset sum problem (ssp) can be briefly stated as: given a target integer.$e$ and a set $a$ containing $n$ positive integer $a_j$, find a subset of $a$.summing to $e$. the \textit{density} $d$ of an ssp instance is defined by the.ratio of $n$ to $m$, where $m$ is the logarithm of the largest integer within.$a$. based on the structural and statistical properties of subset sums, we.present an improved enumeration scheme for ssp, and implement it as a complete.and exact algorithm (enumplus). the algorithm always equivalently reduces an.instance to be low-density, and then solve it by enumeration. through this.approach, we show the possibility to design a sole algorithm that can.efficiently solve arbitrary density instance in a uniform way. furthermore, our.algorithm has considerable performance advantage over previous algorithms..firstly, it extends the density scope, in which ssp can be solved in expected.polynomial time. specifically, it solves ssp in expected $o(n\log{n})$ time.when density $d \geq c\cdot \sqrt{n}/\log{n}$, while the previously best.density scope is $d \geq c\cdot n/(\log{n})^{2}$. in addition, the overall.expected time and space requirement in the average case are proven to be.$o(n^5\log n)$ and $o(n^5)$ respectively. secondly, in the worst case, it.slightly improves the previously best time complexity of exact algorithms for.ssp. specifically, the worst-case time complexity of our algorithm is proved to.be $o((n-6)2^{n/2}+n)$, while the previously best result is $o(n2^{n/2})$.","['changlin wan', 'zhongzhi shi']",solving medium-density subset sum problems in expected polynomial time:.  an enumeration approach,http://arxiv.org/abs/0712.3203v2,2008
"given a set $z$ of $n$ positive integers and a target value $t$, the subset.sum problem asks whether any subset of $z$ sums to $t$. a textbook.pseudopolynomial time algorithm by bellman from 1957 solves subset sum in time.$o(nt)$. this has been improved to $o(n \max z)$ by pisinger [j. algorithms'99].and recently to $\tilde o(\sqrt{n} t)$ by koiliaris and xu [soda'17]..  here we present a simple randomized algorithm running in time $\tilde.o(n+t)$. this improves upon a classic algorithm and is likely to be.near-optimal, since it matches conditional lower bounds from set cover and.k-clique..  we then use our new algorithm and additional tricks to improve the best known.polynomial space solution from time $\tilde o(n^3 t)$ and space $\tilde o(n^2)$.to time $\tilde o(nt)$ and space $\tilde o(n \log t)$, assuming the extended.riemann hypothesis. unconditionally, we obtain time $\tilde o(n.t^{1+\varepsilon})$ and space $\tilde o(n t^\varepsilon)$ for any constant.$\varepsilon > 0$.",['karl bringmann'],a near-linear pseudopolynomial time algorithm for subset sum,http://arxiv.org/abs/1610.04712v2,2017
"we employ the functional renormalization group framework at second order in.the derivative expansion to study the $o(n)$ models continuously varying the.number of field components $n$ and the spatial dimensionality $d$. we in.particular address the cardy-hamber prediction concerning nonanalytical.behavior of the critical exponents $\nu$ and $\eta$ across a line in the.$(d,n)$ plane, which passes through the point $(2,2)$. by direct numerical.evaluation of $\eta(d,n)$ and $\nu^{-1}(d,n)$ we find no evidence of.discontinuous or singular first and second derivatives of these functions for.$d>2$. the computed derivatives of $\eta(d,n)$ and $\nu^{-1}(d,n)$ become.increasingly large for $d\to 2$ and $n\to 2$ and it is only in this limit that.$\eta(d,n)$ and $\nu^{-1}(d,n)$ as obtained by us are evidently nonanalytical..we provide a discussion of the evolution of the obtained picture upon varying.$d$ and $n$ between $(d,n)=(2,2)$ and other, earlier studied cases, such as.$d\to 3$ or $n\to \infty$.","['andrzej chlebicki', 'pawel jakubczyk']",analyticity of critical exponents of the $o(n)$ models from.  nonperturbative renormalization,http://arxiv.org/abs/2012.00782v3,2020
"a tree-based network $\mathcal n$ on $x$ is universal if every rooted binary.phylogenetic $x$-tree is a base tree for $\mathcal n$. hayamizu and,.independently, zhang constructively showed that, for all positive integers $n$,.there exists an universal tree-based network on $n$ leaves. for all $n$,.hayamizu's construction contains $\theta(n!)$ reticulations, while zhang's.construction contains $\theta(n^2)$ reticulations. a simple counting argument.shows that an universal tree-based network has $\omega(n\log n)$ reticulations..with this in mind, hayamizu as well as steel posed the problem of determining.whether or not such networks exists with $o(n\log n)$ reticulations. in this.paper, we show that, for all $n$, there exists an universal tree-based network.on $n$ leaves with $o(n\log n)$ reticulations.","['magnus bordewich', 'charles semple']",a universal tree-based network with the minimum number of reticulations,http://arxiv.org/abs/1707.08274v2,2017
"saturation problems for forbidden graphs have been a popular area of research.for many decades, and recently brualdi and cao initiated the study of a.saturation problem for 0-1 matrices. we say that 0-1 matrix $a$ is saturating.for the forbidden 0-1 matrix $p$ if $a$ avoids $p$ but changing any zero to a.one in $a$ creates a copy of $p$. define $sat(n, p)$ to be the minimum possible.number of ones in an $n \times n$ 0-1 matrix that is saturating for $p$. fulek.and keszegh proved that for every 0-1 matrix $p$, either $sat(n, p) = o(1)$ or.$sat(n, p) = \theta(n)$. they found two 0-1 matrices $p$ for which $sat(n, p) =.o(1)$, as well as infinite families of 0-1 matrices $p$ for which $sat(n, p) =.\theta(n)$. their results imply that $sat(n, p) = \theta(n)$ for almost all $k.\times k$ 0-1 matrices $p$..  fulek and keszegh conjectured that there are many more 0-1 matrices $p$ such.that $sat(n, p) = o(1)$ besides the ones they found, and they asked for a.characterization of all permutation matrices $p$ such that $sat(n, p) = o(1)$..we affirm their conjecture by proving that almost all $k \times k$ permutation.matrices $p$ have $sat(n, p) = o(1)$. we also make progress on the.characterization problem, since our proof of the main result exhibits a family.of permutation matrices with bounded saturation functions.",['jesse geneson'],almost all permutation matrices have bounded saturation functions,http://arxiv.org/abs/2012.14150v1,2020
"the photoproduction of $d^{*\pm}$ mesons has been measured with the zeus.detector at hera at three different ep centre-of-mass energies, $\sqrt{s}$, of.318, 251 and 225 gev. for each data set, $d^*$ mesons were required to have.transverse momentum, $p_t^{d^*}$, and pseudorapidity, $\eta^{d^*}$, in the.ranges $1.9 < p_t^{d^*} < 20$ gev and $|\eta^{d^*}|<1.6$. the events were.required to have a virtuality of the incoming photon, $q^2$, of less than 1.gev$^2$. the dependence on $\sqrt{s}$ was studied by normalising to the.high-statistics measurement at $\sqrt{s} =318$ gev. this led to the.cancellation of a number of systematic effects both in data and theory..predictions from next-to-leading-order qcd describe the $\sqrt{s}$ dependence.of the data well.","[' zeus collaboration', 'h. abramowicz', 'i. abt', 'l. adamczyk', 'm. adamus', 'r. aggarwal', 's. antonelli', 'o. arslan', 'v. aushev', 'y. aushev', 'o. bachynska', 'a. n. barakbaev', 'n. bartosik', 'o. behnke', 'j. behr', 'u. behrens', 'a. bertolin', 's. bhadra', 'i. bloch', 'v. bokhonov', 'e. g. boos', 'k. borras', 'i. brock', 'r. brugnera', 'a. bruni', 'b. brzozowska', 'p. j. bussey', 'a. caldwell', 'm. capua', 'c. d. catterall', 'j. chwastowski', 'j. ciborowski', 'r. ciesielski', 'a. m. cooper-sarkar', 'm. corradi', 'f. corriveau', ""g. d'agostini"", 'r. k. dementiev', 'r. c. e. devenish', 'g. dolinska', 'v. drugakov', 's. dusini', 'j. ferrando', 'j. figiel', 'b. foster', 'g. gach', 'a. garfagnini', 'a. geiser', 'a. gizhko', 'l. k. gladilin', 'o. gogota', 'yu. a. golubkov', 'j. grebenyuk', 'i. gregor', 'g. grzelak', 'o. gueta', 'm. guzik', 'w. hain', 'g. hartner', 'd. hochman', 'r. hori', 'z. a. ibrahim', 'y. iga', 'm. ishitsuka', 'a. iudin', 'f. januschek', 'i. kadenko', 's. kananov', 't. kanno', 'u. karshon', 'm. kaur', 'p. kaur', 'l. a. khein', 'd. kisielewska', 'r. klanner', 'u. klein', 'n. kondrashova', 'o. kononenko', 'ie. korol', 'i. a. korzhavina', 'a. kotanski', 'u. kotz', 'n. kovalchuk', 'h. kowalski', 'o. kuprash', 'm. kuze', 'b. b. levchenko', 'a. levy', 'v. libov', 's. limentani', 'm. lisovyi', 'e. lobodzinska', 'w. lohmann', 'b. lohr', 'e. lohrmann', 'a. longhin', 'd. lontkovskyi', 'o. yu. lukina', 'j. maeda', 'i. makarenko', 'j. malka', 'j. f. martin', 's. mergelmeyer', 'f. mohamad idris', 'k. mujkic', 'v. myronenko', 'k. nagano', 'a. nigro', 't. nobe', 'd. notz', 'r. j. nowak', 'k. olkiewicz', 'yu. onishchuk', 'e. paul', 'w. perlanski', 'h. perrey', 'n. s. pokrovskiy', 'a. s. proskuryakov', 'm. przybycien', 'a. raval', 'p. roloff', 'i. rubinsky', 'm. ruspa', 'v. samojlov', 'd. h. saxon', 'm. schioppa', 'w. b. schmidke', 'u. schneekloth', 't. schorner-sadenius', 'j. schwartz', 'l. m. shcheglova', 'r. shevchenko', 'o. shkola', 'i. singh', 'i. o. skillicorn', 'w. slominski', 'v. sola', 'a. solano', 'a. spiridonov', 'l. stanco', 'n. stefaniuk', 'a. stern', 't. p. stewart', 'p. stopa', 'j. sztuk-dambietz', 'd. szuba', 'j. szuba', 'e. tassi', 't. temiraliev', 'k. tokushuku', 'j. tomaszewska', 'a. trofymov', 'v. trusov', 't. tsurugai', 'm. turcato', 'o. turkot', 't. tymieniecka', 'a. verbytskyi', 'o. viazlo', 'r. walczak', 'w. a. t. wan abdullah', 'k. wichmann', 'm. wing', 'g. wolf', 's. yamada', 'y. yamazaki', 'n. zakharchuk', 'a. f. zarnecki', 'l. zawiejski', 'o. zenaiev', 'b. o. zhautykov', 'n. zhmak', 'd. s. zotkin']",measurement of d* photoproduction at three different centre-of-mass.  energies at hera,http://arxiv.org/abs/1405.5068v2,2014
"the reduced cross sections for $e^{+}p$ deep inelastic scattering have been.measured with the zeus detector at hera at three different centre-of-mass.energies, $318$, $251$ and $225$ gev. the cross sections, measured double.differentially in bjorken $x$ and the virtuality, $q^2$, were obtained in the.region $0.13\ \leq\ y\ \leq\ 0.75$, where $y$ denotes the inelasticity and $5\.\leq\ q^2\ \leq\ 110$ gev$^2$. the proton structure functions $f_2$ and $f_l$.were extracted from the measured cross sections.","[' zeus collaboration', 'h. abramowicz', 'i. abt', 'l. adamczyk', 'm. adamus', 'r. aggarwal', 's. antonelli', 'o. arslan', 'v. aushev', 'y. aushev', 'o. bachynska', 'a. n. barakbaev', 'n. bartosik', 'o. behnke', 'j. behr', 'u. behrens', 'a. bertolin', 's. bhadra', 'i. bloch', 'v. bokhonov', 'e. g. boos', 'k. borras', 'i. brock', 'r. brugnera', 'a. bruni', 'b. brzozowska', 'p. j. bussey', 'a. caldwell', 'm. capua', 'c. d. catterall', 'j. chwastowski', 'j. ciborowski', 'r. ciesielski', 'a. m. cooper-sarkar', 'm. corradi', 'f. corriveau', ""g. d'agostini"", 'r. k. dementiev', 'r. c. e. devenish', 'g. dolinska', 'v. drugakov', 's. dusini', 'j. ferrando', 'j. figiel', 'b. foster', 'g. gach', 'a. garfagnini', 'a. geiser', 'a. gizhko', 'l. k. gladilin', 'o. gogota', 'yu. a. golubkov', 'j. grebenyuk', 'i. gregor', 'g. grzelak', 'o. gueta', 'm. guzik', 'w. hain', 'g. hartner', 'd. hochman', 'r. hori', 'z. a. ibrahim', 'y. iga', 'm. ishitsuka', 'a. iudin', 'f. januschek', 'i. kadenko', 's. kananov', 't. kanno', 'u. karshon', 'm. kaur', 'p. kaur', 'l. a. khein', 'd. kisielewska', 'r. klanner', 'u. klein', 'n. kondrashova', 'o. kononenko', 'ie. korol', 'i. a. korzhavina', 'a. kotanski', 'u. kotz', 'n. kovalchuk', 'h. kowalski', 'o. kuprash', 'm. kuze', 'b. b. levchenko', 'a. levy', 'v. libov', 's. limentani', 'm. lisovyi', 'e. lobodzinska', 'w. lohmann', 'b. lohr', 'e. lohrmann', 'a. longhin', 'd. lontkovskyi', 'o. yu. lukina', 'j. maeda', 'i. makarenko', 'j. malka', 'j. f. martin', 's. mergelmeyer', 'f. mohamad idris', 'k. mujkic', 'v. myronenko', 'k. nagano', 'a. nigro', 't. nobe', 'd. notz', 'r. j. nowak', 'k. olkiewicz', 'yu. onishchuk', 'e. paul', 'w. perlanski', 'h. perrey', 'n. s. pokrovskiy', 'a. s. proskuryakov', 'm. przybycien', 'a. raval', 'p. roloff', 'i. rubinsky', 'm. ruspa', 'v. samojlov', 'd. h. saxon', 'm. schioppa', 'w. b. schmidke', 'u. schneekloth', 't. schorner-sadenius', 'j. schwartz', 'l. m. shcheglova', 'r. shevchenko', 'o. shkola', 'i. singh', 'i. o. skillicorn', 'w. slominski', 'v. sola', 'a. solano', 'a. spiridonov', 'l. stanco', 'n. stefaniuk', 'a. stern', 't. p. stewart', 'p. stopa', 'j. sztuk-dambietz', 'd. szuba', 'j. szuba', 'e. tassi', 't. temiraliev', 'k. tokushuku', 'j. tomaszewska', 'a. trofymov', 'v. trusov', 't. tsurugai', 'm. turcato', 'o. turkot', 't. tymieniecka', 'a. verbytskyi', 'o. viazlo', 'r. walczak', 'w. a. t. wan abdullah', 'k. wichmann', 'm. wing', 'g. wolf', 's. yamada', 'y. yamazaki', 'n. zakharchuk', 'a. f. zarnecki', 'l. zawiejski', 'o. zenaiev', 'b. o. zhautykov', 'n. zhmak', 'd. s. zotkin']",deep inelastic cross-section measurements at large y with the zeus.  detector at hera,http://arxiv.org/abs/1404.6376v1,2014
"the neutral current e+/-p cross section has been measured up to values of.bjorken x of approximately 1 with the zeus detector at hera using an integrated.luminosity of 187 inv. pb of e-p and 142 inv. pb of e+p collisions at sqrt(s) =.318gev. differential cross sections in x and q2, the exchanged boson.virtuality, are presented for q2 geq 725gev2. an improved reconstruction method.and greatly increased amount of data allows a finer binning in the high-x.region of the neutral current cross section and leads to a measurement with.much improved precision compared to a similar earlier analysis. the.measurements are compared to standard model expectations based on a variety of.recent parton distribution functions.","[' zeus collaboration', 'h. abramowicz', 'i. abt', 'l. adamczyk', 'm. adamus', 'r. aggarwal', 's. antonelli', 'o. arslan', 'v. aushev', 'y. aushev', 'o. bachynska', 'a. n. barakbaev', 'n. bartosik', 'o. behnke', 'j. behr', 'u. behrens', 'a. bertolin', 's. bhadra', 'i. bloch', 'v. bokhonov', 'e. g. boos', 'k. borras', 'i. brock', 'r. brugnera', 'a. bruni', 'b. brzozowska', 'p. j. bussey', 'a. caldwell', 'm. capua', 'c. d. catterall', 'j. chwastowski', 'j. ciborowski', 'r. ciesielski', 'a. m. cooper-sarkar', 'm. corradi', 'f. corriveau', 'g. d agostini', 'r. k. dementiev', 'r. c. e. devenish', 'g. dolinska', 'v. drugakov', 's. dusini', 'j. ferrando', 'j. figiel', 'b. foster', 'g. gach', 'a. garfagnini', 'a. geiser', 'a. gizhko', 'l. k. gladilin', 'o. gogota', 'yu. a. golubkov', 'j. grebenyuk', 'i. gregor', 'g. grzelak', 'o. gueta', 'm. guzik', 'w. hain', 'g. hartner', 'd. hochman', 'r. hori', 'z. a. ibrahim', 'y. iga', 'm. ishitsuka', 'a. iudin', 'f. januschek', 'i. kadenko', 's. kananov', 't. kanno', 'u. karshon', 'm. kaur', 'p. kaur', 'l. a. khein', 'd. kisielewska', 'r. klanner', 'u. klein', 'n. kondrashova', 'o. kononenko', 'ie. korol', 'i. a. korzhavina', 'a. kotanski', 'u. koetz', 'n. kovalchuk', 'h. kowalski', 'o. kuprash', 'm. kuze', 'b. b. levchenko', 'a. levy', 'v. libov', 's. limentani', 'm. lisovyi', 'e. lobodzinska', 'w. lohmann', 'b. loehr', 'e. lohrmann', 'a. longhin', 'd. lontkovskyi', 'o. yu. lukina', 'j. maeda', 'i. makarenko', 'j. malka', 'j. f. martin', 's. mergelmeyer', 'f. mohamad idris', 'k. mujkic', 'v. myronenko', 'k. nagano', 'a. nigro', 't. nobe', 'd. notz', 'r. j. nowak', 'k. olkiewicz', 'yu. onishchuk', 'e. paul', 'w. perlanski', 'h. perrey', 'n. s. pokrovskiy', 'a. s. proskuryakov', 'm. przybycien', 'a. raval', 'p. roloff', 'i. rubinsky', 'm. ruspa', 'v. samojlov', 'd. h. saxon', 'm. schioppa', 'w. b. schmidke', 'u. schneekloth', 't. schoerner-sadenius', 'j. schwartz', 'l. m. shcheglova', 'r. shevchenko', 'o. shkola', 'i. singh', 'i. o. skillicorn', 'w. slominski', 'v. sola', 'a. solano', 'a. spiridonov', 'l. stanco', 'n. stefaniuk', 'a. stern', 't. p. stewart', 'p. stopa', 'j. sztuk-dambietz', 'd. szuba', 'j. szuba', 'e. tassi', 't. temiraliev', 'k. tokushuku', 'j. tomaszewska', 'a. trofymov', 'v. trusov', 't. tsurugai', 'm. turcato', 'o. turkot', 't. tymieniecka', 'a. verbytskyi', 'o. viazlo', 'r. walczak', 'w. a. t. wan abdullah', 'k. wichmann', 'm. wing', 'g. wolf', 's. yamada', 'y. yamazaki', 'n. zakharchuk', 'a. f. zarnecki', 'l. zawiejski', 'o. zenaiev', 'b. o. zhautykov', 'n. zhmak', 'd. s. zotkin']",measurement of neutral current e+/-p cross sections at high bjorken x.  with the zeus detector,http://arxiv.org/abs/1312.4438v2,2014
"the production of beauty and charm quarks in ep interactions has been studied.with the zeus detector at hera for exchanged four-momentum squared 5 < q^2 <.1000 gev^2 using an integrated luminosity of 354 pb^{-1}. the beauty and charm.content in events with at least one jet have been extracted using the invariant.mass of charged tracks associated with secondary vertices and the decay-length.significance of these vertices. differential cross sections as a function of.q^2, bjorken x, jet transverse energy and pseudorapidity were measured and.compared with next-to-leading-order qcd calculations. the beauty and charm.contributions to the proton structure functions were extracted from the.double-differential cross section as a function of x and q^2. the running.beauty-quark mass, m_b at the scale m_b, was determined from a qcd fit at.next-to-leading order to hera data for the first time and found to be 4.07 \pm.0.14 (fit} ^{+0.01}_{-0.07} (mod.) ^{+0.05}_{-0.00} (param.) ^{+0.08}_{-0.05}.(theo) gev.","[' zeus collaboration', 'h. abramowicz', 'i. abt', 'l. adamczyk', 'm. adamus', 'r. aggarwal', 's. antonelli', 'o. arslan', 'v. aushev', 'y. aushev', 'o. bachynska', 'a. n. barakbaev', 'n. bartosik', 'o. behnke', 'j. behr', 'u. behrens', 'a. bertolin', 's. bhadra', 'i. bloch', 'v. bokhonov', 'e. g. boos', 'k. borras', 'i. brock', 'r. brugnera', 'a. bruni', 'b. brzozowska', 'p. j. bussey', 'a. caldwell', 'm. capua', 'c. d. catterall', 'j. chwastowski', 'j. ciborowski', 'r. ciesielski', 'a. m. cooper-sarkar', 'm. corradi', 'f. corriveau', ""g. d'agostini"", 'r. k. dementiev', 'r. c. e. devenish', 'g. dolinska', 'v. drugakov', 's. dusini', 'j. ferrando', 'j. figiel', 'b. foster', 'g. gach', 'a. garfagnini', 'a. geiser', 'a. gizhko', 'l. k. gladilin', 'o. gogota', 'yu. a. golubkov', 'j. grebenyuk', 'i. gregor', 'g. grzelak', 'o. gueta', 'm. guzik', 'w. hain', 'g. hartner', 'd. hochman', 'r. hori', 'z. a. ibrahim', 'y. iga', 'm. ishitsuka', 'a. iudin', 'f. januschek', 'i. kadenko', 's. kananov', 't. kanno', 'u. karshon', 'm. kaur', 'p. kaur', 'l. a. khein', 'd. kisielewska', 'r. klanner', 'u. klein', 'n. kondrashova', 'o. kononenko', 'ie. korol', 'i. a. korzhavina', 'a. kotański', 'u. kötz', 'n. kovalchuk', 'h. kowalski', 'o. kuprash', 'm. kuze', 'b. b. levchenko', 'a. levy', 'v. libov', 's. limentani', 'm. lisovyi', 'e. lobodzinska', 'w. lohmann', 'b. löhr', 'e. lohrmann', 'a. longhin', 'd. lontkovskyi', 'o. yu. lukina', 'j. maeda', 'i. makarenko', 'j. malka', 'j. f. martin', 's. mergelmeyer', 'f. mohamad idris', 'k. mujkic', 'v. myronenko', 'k. nagano', 'a. nigro', 't. nobe', 'd. notz', 'r. j. nowak', 'k. olkiewicz', 'yu. onishchuk', 'e. paul', 'w. perlański', 'h. perrey', 'n. s. pokrovskiy', 'a. s. proskuryakov', 'm. przybycień', 'a. raval', 'p. roloff', 'i. rubinsky', 'm. ruspa', 'v. samojlov', 'd. h. saxon', 'm. schioppa', 'w. b. schmidke', 'u. schneekloth', 't. schörner-sadenius', 'j. schwartz', 'l. m. shcheglova', 'r. shehzadi', 'r. shevchenko', 'o. shkola', 'i. singh', 'i. o. skillicorn', 'w. słomiński', 'v. sola', 'a. solano', 'a. spiridonov', 'l. stanco', 'n. stefaniuk', 'a. stern', 't. p. stewart', 'p. stopa', 'j. sztuk-dambietz', 'd. szuba', 'j. szuba', 'e. tassi', 't. temiraliev', 'k. tokushuku', 'j. tomaszewska', 'a. trofymov', 'v. trusov', 't. tsurugai', 'm. turcato', 'o. turkot', 't. tymieniecka', 'a. verbytskyi', 'o. viazlo', 'r. walczak', 'w. a. t. wan abdullah', 'k. wichmann', 'm. wing', 'g. wolf', 's. yamada', 'y. yamazaki', 'n. zakharchuk', 'a. f. żarnecki', 'l. zawiejski', 'o. zenaiev', 'b. o. zhautykov', 'n. zhmak', 'd. s. zotkin']",measurement of beauty and charm production in deep inelastic scattering.  at hera and measurement of the beauty-quark mass,http://arxiv.org/abs/1405.6915v2,2014
